,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
12988,24,KR,418039,Entertainment,Sat,12,6
12989,24,KR,49982,Entertainment,Mon,14,0
12990,24,KR,84743,Entertainment,Sat,15,6
12991,22,KR,134481,People & Blogs,Sun,7,7
12992,1,KR,133658,Film & Animation,Mon,1,0
12993,23,KR,565989,Comedy,Sat,8,6
12994,22,KR,201920,People & Blogs,Sun,8,7
12995,25,KR,5974,News & Politics,Mon,20,0
12996,24,KR,49541,Entertainment,Sat,15,6
12997,24,KR,94110,Entertainment,Tue,1,1
12998,15,KR,87299,Pets & Animals,Sun,10,7
12999,22,KR,143723,People & Blogs,Sun,10,7
13000,22,KR,59788,People & Blogs,Mon,4,0
13001,22,KR,35029,People & Blogs,Sun,18,7
13002,24,KR,29640,Entertainment,Sun,3,7
13003,22,KR,27895,People & Blogs,Sun,17,7
13004,25,KR,41041,News & Politics,Sun,9,7
13005,1,KR,18760,Film & Animation,Sat,20,6
13006,10,KR,2624912,Music,Mon,21,0
13007,20,KR,136161,Gaming,Sun,15,7
13008,10,KR,815768,Music,Sun,5,7
13009,15,KR,22443,Pets & Animals,Sun,11,7
13010,22,KR,35201,People & Blogs,Sat,7,6
13011,22,KR,63848,People & Blogs,Sat,4,6
13012,25,KR,48527,News & Politics,Fri,10,4
13013,17,KR,196839,Sports,Sat,23,6
13014,22,KR,99070,People & Blogs,Sat,17,6
13015,10,KR,10964492,Music,Mon,9,0
13016,20,KR,131206,Gaming,Mon,15,0
13017,24,KR,220840,Entertainment,Mon,9,0
13018,23,KR,748775,Comedy,Mon,3,0
13019,25,KR,286609,News & Politics,Mon,11,0
13020,22,KR,121333,People & Blogs,Mon,18,0
13021,26,KR,377490,Howto & Style,Mon,10,0
13022,22,KR,322081,People & Blogs,Mon,16,0
13023,10,KR,1441571,Music,Mon,9,0
13024,1,KR,586354,Film & Animation,Sun,2,7
13025,20,KR,278251,Gaming,Mon,9,0
13026,25,KR,1447089,News & Politics,Fri,7,4
13027,22,KR,153310,People & Blogs,Mon,11,0
13028,25,KR,91091,News & Politics,Tue,0,1
13029,29,KR,81072,Nonprofits & Activism,Sun,20,7
13030,25,KR,104870,News & Politics,Mon,7,0
13031,1,KR,1587519,Film & Animation,Sat,6,6
13032,23,KR,390319,Comedy,Mon,16,0
13033,1,KR,533570,Film & Animation,Sat,9,6
13034,22,KR,139814,People & Blogs,Mon,11,0
13035,17,KR,30533,Sports,Mon,12,0
13036,25,KR,92558,News & Politics,Mon,10,0
13037,22,KR,85316,People & Blogs,Mon,23,0
13038,26,KR,151596,Howto & Style,Mon,10,0
13039,25,KR,44478,News & Politics,Mon,12,0
13040,23,KR,170975,Comedy,Tue,3,1
13041,24,KR,529704,Entertainment,Sat,11,6
13042,22,KR,145939,People & Blogs,Sun,14,7
13043,22,KR,69814,People & Blogs,Mon,8,0
13044,1,KR,82056,Film & Animation,Mon,7,0
13045,22,KR,294952,People & Blogs,Mon,8,0
13046,1,KR,35562,Film & Animation,Mon,11,0
13047,19,KR,79272,Travel & Events,Sun,17,7
13048,25,KR,115869,News & Politics,Mon,9,0
13049,25,KR,83237,News & Politics,Mon,4,0
13050,20,KR,899128,Gaming,Sun,12,7
13051,25,KR,92112,News & Politics,Tue,0,1
13052,24,KR,150032,Entertainment,Sun,4,7
13053,10,KR,871693,Music,Mon,13,0
13054,24,KR,236135,Entertainment,Mon,5,0
13055,25,KR,579855,News & Politics,Sat,2,6
13056,22,KR,26390,People & Blogs,Mon,14,0
13057,29,KR,57843,Nonprofits & Activism,Tue,0,1
13058,22,KR,45104,People & Blogs,Mon,16,0
13059,26,KR,223148,Howto & Style,Mon,9,0
13060,22,KR,43149,People & Blogs,Sun,13,7
13061,22,KR,144322,People & Blogs,Sat,22,6
13062,27,KR,115912,Education,Sun,16,7
13063,10,KR,14013696,Music,Mon,9,0
13064,20,KR,196422,Gaming,Mon,15,0
13065,24,KR,306267,Entertainment,Mon,9,0
13066,25,KR,117345,News & Politics,Mon,7,0
13067,22,KR,93217,People & Blogs,Mon,23,0
13068,22,KR,412300,People & Blogs,Mon,16,0
13069,22,KR,172246,People & Blogs,Mon,18,0
13070,25,KR,103504,News & Politics,Mon,10,0
13071,23,KR,843698,Comedy,Mon,3,0
13072,1,KR,774266,Film & Animation,Sun,2,7
13073,26,KR,424381,Howto & Style,Mon,10,0
13074,20,KR,320573,Gaming,Mon,9,0
13075,10,KR,1697635,Music,Mon,9,0
13076,25,KR,51127,News & Politics,Mon,12,0
13077,25,KR,86737,News & Politics,Mon,4,0
13078,25,KR,316883,News & Politics,Sat,12,6
13079,29,KR,62171,Nonprofits & Activism,Tue,0,1
13080,22,KR,174971,People & Blogs,Mon,11,0
13081,25,KR,123250,News & Politics,Mon,9,0
13082,25,KR,19389,News & Politics,Tue,3,1
13083,22,KR,138470,People & Blogs,Sun,7,7
13084,25,KR,98165,News & Politics,Tue,0,1
13085,29,KR,98146,Nonprofits & Activism,Sun,20,7
13086,25,KR,19610,News & Politics,Tue,0,1
13087,1,KR,1685169,Film & Animation,Sat,6,6
13088,23,KR,425863,Comedy,Mon,16,0
13089,1,KR,581400,Film & Animation,Sat,9,6
13090,25,KR,42546,News & Politics,Mon,12,0
13091,25,KR,35499,News & Politics,Mon,12,0
13092,25,KR,234023,News & Politics,Sat,7,6
13093,23,KR,212939,Comedy,Tue,3,1
13094,26,KR,170383,Howto & Style,Mon,10,0
13095,25,KR,36885,News & Politics,Mon,14,0
13096,24,KR,262458,Entertainment,Sun,12,7
13097,22,KR,82921,People & Blogs,Mon,8,0
13098,22,KR,178341,People & Blogs,Mon,11,0
13099,1,KR,44278,Film & Animation,Mon,11,0
13100,25,KR,32714,News & Politics,Mon,11,0
13101,22,KR,149190,People & Blogs,Sun,14,7
13102,1,KR,319596,Film & Animation,Sun,4,7
13103,24,KR,568263,Entertainment,Sat,11,6
13104,10,KR,1151170,Music,Mon,13,0
13105,19,KR,95103,Travel & Events,Sun,17,7
13106,22,KR,312374,People & Blogs,Mon,8,0
13107,24,KR,153774,Entertainment,Sun,4,7
13108,25,KR,96921,News & Politics,Tue,0,1
13109,22,KR,56505,People & Blogs,Mon,16,0
13110,22,KR,33846,People & Blogs,Mon,14,0
13111,25,KR,645647,News & Politics,Sat,2,6
13112,1,KR,91979,Film & Animation,Mon,7,0
13113,10,KR,12729423,Music,Mon,9,0
13114,25,KR,1475409,News & Politics,Fri,7,4
13115,20,KR,926307,Gaming,Sun,12,7
13116,26,KR,238185,Howto & Style,Mon,9,0
13117,22,KR,53496,People & Blogs,Sun,13,7
13118,27,KR,129343,Education,Sun,16,7
13119,22,KR,145611,People & Blogs,Sat,22,6
13120,24,KR,13486,Entertainment,Mon,8,0
13121,27,KR,23861,Education,Mon,12,0
13122,10,KR,135656,Music,Sat,13,6
13123,23,KR,35718,Comedy,Sun,14,7
13124,24,KR,169726,Entertainment,Mon,14,0
13125,23,KR,335463,Comedy,Mon,10,0
13126,25,KR,40057,News & Politics,Sun,21,7
13127,23,KR,497606,Comedy,Sat,11,6
13128,22,KR,70831,People & Blogs,Sun,8,7
13129,24,KR,144262,Entertainment,Mon,9,0
13130,24,KR,725609,Entertainment,Sat,10,6
13131,17,KR,438618,Sports,Sat,1,6
13132,25,KR,7740,News & Politics,Mon,16,0
13133,1,KR,504094,Film & Animation,Sun,7,7
13134,25,KR,16388,News & Politics,Mon,16,0
13135,25,KR,26751,News & Politics,Sun,23,7
13136,17,KR,335991,Sports,Mon,12,0
13137,25,KR,116579,News & Politics,Mon,10,0
13138,24,KR,150671,Entertainment,Mon,9,0
13139,22,KR,17270,People & Blogs,Mon,13,0
13140,17,KR,193412,Sports,Sat,11,6
13141,24,KR,175105,Entertainment,Mon,14,0
13142,25,KR,85940,News & Politics,Sun,22,7
13143,25,KR,190854,News & Politics,Sat,13,6
13144,22,KR,14922,People & Blogs,Mon,9,0
13145,24,KR,16535,Entertainment,Mon,16,0
13146,25,KR,2119449,News & Politics,Wed,6,2
13147,24,KR,69867,Entertainment,Sun,17,7
13148,20,KR,53498,Gaming,Mon,4,0
13149,15,KR,90257,Pets & Animals,Sun,10,7
13150,15,KR,26507,Pets & Animals,Sun,11,7
13151,22,KR,19106,People & Blogs,Mon,10,0
13152,22,KR,31413,People & Blogs,Mon,6,0
13153,2,KR,8157,Autos & Vehicles,Mon,12,0
13154,22,KR,66795,People & Blogs,Mon,6,0
13155,24,KR,65046,Entertainment,Sun,2,7
13156,24,KR,52606,Entertainment,Sun,6,7
13157,17,KR,241595,Sports,Sun,7,7
13158,10,KR,1466733,Music,Sun,6,7
13159,22,KR,53248,People & Blogs,Sun,14,7
13160,22,KR,31386,People & Blogs,Sun,0,7
13161,10,KR,14013696,Music,Mon,9,0
13162,20,KR,196422,Gaming,Mon,15,0
13163,24,KR,306267,Entertainment,Mon,9,0
13164,25,KR,117345,News & Politics,Mon,7,0
13165,22,KR,93217,People & Blogs,Mon,23,0
13166,22,KR,412300,People & Blogs,Mon,16,0
13167,22,KR,172246,People & Blogs,Mon,18,0
13168,25,KR,103504,News & Politics,Mon,10,0
13169,23,KR,843698,Comedy,Mon,3,0
13170,1,KR,774266,Film & Animation,Sun,2,7
13171,26,KR,424381,Howto & Style,Mon,10,0
13172,20,KR,320573,Gaming,Mon,9,0
13173,10,KR,1697635,Music,Mon,9,0
13174,25,KR,51127,News & Politics,Mon,12,0
13175,25,KR,86737,News & Politics,Mon,4,0
13176,25,KR,316883,News & Politics,Sat,12,6
13177,29,KR,62171,Nonprofits & Activism,Tue,0,1
13178,22,KR,174971,People & Blogs,Mon,11,0
13179,25,KR,123250,News & Politics,Mon,9,0
13180,25,KR,19389,News & Politics,Tue,3,1
